##dt = 0.001
#time; temp; pe; conc
# Fix print output for fix out
0; 483.6677060867423279; -17350.72376637922207; 1
0.5; 520.13787584804913422; -17608.12471178081978; 0.95825179386823222671
1; 502.61098371377534022; -17706.577366631478071; 0.94667318982387471671
1; 502.61098371377511285; -17709.537680370252929; 0.94667318982387471671
1.5; 505.39515200249775262; -17507.064380833486211; 0.98255055446836270239
2; 491.31765268364591748; -17443.538691002337146; 0.98907371167645141696
2; 491.31765268364591748; -17438.192342693611863; 0.98907371167645141696
2.5; 497.963855511285999; -17424.713882543936052; 0.99249836921069800599
3; 496.25524009511815393; -17415.031336226478743; 0.99380300065231574891
3; 496.25524009511809709; -17415.031336226471467; 0.99380300065231574891
